stage,target,model,fold_count,cv_train_mae_mean,cv_train_mae_std,cv_train_rmse_mean,cv_train_rmse_std,cv_train_r2_mean,cv_train_r2_std,cv_train_median_absolute_error_mean,cv_train_median_absolute_error_std,cv_train_normalized_rmse_mean,cv_train_normalized_rmse_std,cv_validation_mae_mean,cv_validation_mae_std,cv_validation_rmse_mean,cv_validation_rmse_std,cv_validation_r2_mean,cv_validation_r2_std,cv_validation_median_absolute_error_mean,cv_validation_median_absolute_error_std,cv_validation_normalized_rmse_mean,cv_validation_normalized_rmse_std,convergence_warnings,convergence_reached,n_iter,dataset_hash,split_hash,model_config_hash,model_registry_version,validation_rmse,validation_r2,train_r2,train_rmse,rank
kfold,pld,poisson_regressor,5,0.9631165363696328,0.0077076139233031,1.481618257700685,0.0270564276750842,0.8187884187983746,0.0059343163898907,0.6395604762727632,0.0064309727802278,0.4256216749826705,0.0069925914962037,1.08389203113964,0.0302524807314209,1.6853080848485376,0.1190466924059294,0.764942480637162,0.022998484559938,0.7015128474153907,0.0145169893984747,0.4843804184335448,0.0381762763517513,,True,145 | 134 | 143 | 138 | 135,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,076ef5e7242e18d0f7a7d4449c026246529209c91b8d5093c5220506b0a13f9a,2026-08-04-poisson-nystroem-v1,1.7709723361401415,0.756468367877141,0.8144305748347805,1.4996044583383072,11
kfold,pld,svr_rbf,5,0.449254641232747,0.006344315297565,1.0239747675318005,0.0307401100366443,0.9134316987515736,0.0043945845067268,0.1031117877942509,0.0001701320969315,0.2941334101571287,0.0074939084201231,1.0475149137631194,0.0277175314149792,1.6903539252245452,0.1058017626360576,0.7634837716212322,0.0208150693575268,0.6044126709814954,0.0130044536629092,0.4857970689567527,0.0342076160697154,Solver terminated early (max_iter=20000).  Consider pre-processing your data with StandardScaler or MinMaxScaler.,False,20000 | 20000 | 20000 | 20000 | 20000,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,fef5a575a49136c346144322849d5164f18dc282c01323745057e0f500d3dfb8,2026-08-04-poisson-nystroem-v1,1.7517115665153524,0.7617367726731955,0.910302721075983,1.0425890176806816,12
kfold,pld,nu_svr,5,0.4987568933435381,0.0076177950530502,1.030887441542482,0.0326133647964936,0.9122621917252278,0.0045284071910262,0.2280594487068319,0.0016597372529834,0.2961103140485667,0.007702146590643,1.054516245474765,0.0251180514326657,1.6910466068452383,0.1014268719025919,0.7632696416850603,0.0201709310645994,0.6168774400110626,0.0173938380577441,0.4859855436570968,0.0328999116818569,Solver terminated early (max_iter=20000).  Consider pre-processing your data with StandardScaler or MinMaxScaler.,False,20000 | 20000 | 20000 | 20000 | 20000,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,c6446a91abc8f7c83f6abdc1f3507eccac19d5482e31328c7eb8dbd1c7fd7d1b,2026-08-04-poisson-nystroem-v1,1.7511177165881011,0.7618982931188298,0.909965808381168,1.0445452211113688,13
kfold,pld,bayesian_ridge,5,1.031434428288854,0.006134925140201,1.5375030210807008,0.0196538590181636,0.8048743133602672,0.0046189014862797,0.6906882789314391,0.0046923390783423,0.4416828940296612,0.0052227305644566,1.1977611664245742,0.0160861464138786,1.7626810916155589,0.0834308991218573,0.7425546675835945,0.0208563601207742,0.8026314044872855,0.0172396467449061,0.5065084758700995,0.0273102668483643,,True,9 | 9 | 9 | 9 | 9,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,907cce3461e6a7a4b2039f5d3c2414495244fc5d05ae8956c20cdfa7f1b343da,2026-08-04-poisson-nystroem-v1,1.7556218565687125,0.7606718505436781,0.801911594147807,1.5493624994919049,14
kfold,pld,pls_regression,5,1.0677868134902426,0.0085188593308686,1.5782810065789112,0.0205256311895529,0.794396671402359,0.0043562838203614,0.7234775489064533,0.0117943150692296,0.453391311082764,0.0048066142009792,1.2158104869675568,0.0168362939915714,1.7835733968891556,0.0853898817107346,0.7364508723783597,0.0209750620515006,0.8155971152487087,0.0183043796209553,0.5125172684973368,0.0279961056860801,,True,"[1, 1, 1, 1, 1, 1, 1, 1] | [1, 1, 1, 1, 1, 1, 1, 1] | [1, 1, 1, 1, 1, 1, 1, 1] | [1, 1, 1, 1, 1, 1, 1, 1] | [1, 1, 1, 1, 1, 1, 1, 1]",45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,13da119d7cd14eaa945d84a0b4aba89e3c99fe4c3bd5eca07e6c9ddfb660964c,2026-08-04-poisson-nystroem-v1,1.7638614128711323,0.7584201296606015,0.7907418249205208,1.5924460520021058,15
kfold,pld,lasso,5,1.010932506139398,0.0072253846128376,1.5053450068679202,0.0205356239827167,0.8129463143191098,0.0048535857962892,0.6765284335044964,0.0092771513302723,0.4324457002689844,0.0056065476789066,1.2110507157317518,0.0167076521929076,1.8017841545504545,0.0780592377736013,0.7309912874177307,0.0208036304527186,0.8080023688185728,0.0189211866945233,0.5177350062068417,0.0258557260806394,"Objective did not converge. You might want to increase the number of iterations, check the scale of the features or consider increasing regularisation. Duality gap: 2.703e+01, tolerance: 1.197e+01 | Objective did not converge. You might want to increase the number of iterations, check the scale of the features or consider increasing regularisation. Duality gap: 3.602e+01, tolerance: 1.196e+01",False,3000 | 3000 | 1371 | 2706 | 2715,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,bb66d72029d4bc28e26575fa5c13468e9ef4ea776a441d8def4424880ce4ebdc,2026-08-04-poisson-nystroem-v1,1.7689695464877029,0.7570188754477515,0.8082970888599126,1.5241856401671292,16
kfold,pld,elastic_net,5,1.0082458213525138,0.007383725119244,1.50082286209814,0.0206619943610898,0.8140689202560083,0.0048258381692393,0.6780303885137081,0.0078902507713546,0.4311460526976446,0.0055925452296921,1.225405562525161,0.0185333016751089,1.824445007740584,0.0779832185464011,0.7240858215792915,0.022619796978062,0.8180856418047485,0.0229405747458799,0.5242336708393573,0.0255824695427541,"Objective did not converge. You might want to increase the number of iterations, check the scale of the features or consider increasing regularisation. Duality gap: 2.037e+01, tolerance: 1.191e+01 | Objective did not converge. You might want to increase the number of iterations, check the scale of the features or consider increasing regularisation. Duality gap: 2.116e+01, tolerance: 1.161e+01 | Objective did not converge. You might want to increase the number of iterations, check the scale of the features or consider increasing regularisation. Duality gap: 2.292e+01, tolerance: 1.142e+01 | Objective did not converge. You might want to increase the number of iterations, check the scale of the features or consider increasing regularisation. Duality gap: 5.418e+01, tolerance: 1.196e+01 | Objective did not converge. You might want to increase the number of iterations, check the scale of the features or consider increasing regularisation. Duality gap: 8.220e+01, tolerance: 1.197e+01",False,3000 | 3000 | 3000 | 3000 | 3000,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,3b36992caf47513a7416471036cb653a59932a9794713b7c1140780cf4b46529,2026-08-04-poisson-nystroem-v1,1.7852170461495065,0.7525349479085721,0.8093793015743241,1.5198773393241485,17
kfold,pld,extra_tree,5,0.5568439149980173,0.021643190286507,0.891025792337907,0.0334989272291664,0.9344447426404072,0.0040823301918045,0.354390034017107,0.0163339647082261,0.2559250758863222,0.0079737557759514,1.0887458774389362,0.0236684430903039,1.8943620912753751,0.0893385309580944,0.7016036802688218,0.0369549081090952,0.5146029337440086,0.0126565842342536,0.5442237523136688,0.0261477652335555,,True,nan | nan | nan | nan | nan,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,e55ec12c255f91cbcee97defed587745ddc0becff6ff999843d50608b57bb666,2026-08-04-poisson-nystroem-v1,1.8984949147620005,0.7201336387494642,0.9324918770419742,0.9044853314612686,18
kfold,pld,decision_tree,5,0.4638819340104987,0.0346217010334427,0.7852816375737606,0.0509202491428183,0.9489581640852622,0.0063772852802926,0.2862085634495839,0.0275391965983888,0.2255636064325838,0.0140374995391248,1.0915946255451978,0.0372534102705121,1.9004751892869027,0.1234974318681639,0.6990125556267903,0.0498902015046326,0.485470108954299,0.0115630521754958,0.5459692053872879,0.0353806802236067,,True,nan | nan | nan | nan | nan,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,364705d7858ccdea68af74cce393f3cc6c761ddbb43051cc5b8a688574502e7c,2026-08-04-poisson-nystroem-v1,1.9905421492762887,0.6923374884052721,0.9465978045419144,0.8044574309179569,19
kfold,pld,kneighbors_regressor,5,0.0251985197934205,0.0013306231948264,0.1562772714310205,0.0094989779685699,0.9979772669512508,0.0002510040547346,0.0,0.0,0.044900648706145,0.0028409010029672,1.1808674060612128,0.0389702635137048,1.902308445272509,0.0988791897688555,0.7005226080931529,0.0203053768756618,0.6796279788702373,0.0242417342885726,0.5466888075409025,0.0329687679042799,,True,nan | nan | nan | nan | nan,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,d3226df2537c660cebbb28b26af37558651fe5e9cbcda6cb639d55a8ef5f6344,2026-08-04-poisson-nystroem-v1,1.8959359000872684,0.720887603843181,0.997693040206472,0.1672027917430092,20
